#separator:tab
#html:true
#columns:NoteID	Front	Back	Tags
2022S_FE_AM_78	<img src="Pasted image 20241022183221.png"><br><img src="Pasted image 20241022183229.png">	d)<br><br>i will work on this ##soon (or someone help discuss if its ok)	math business-administration philnits 2022S_FE_AM_78
2023A_FE_AM_75	Which of the following is an officer whose primary responsibility is the security of a company’s information and data?<br>a) CCO<br>b) CIO<br>c) CISO<br>d) COO	c) CISO<br><br>## Definitions of Terms<br><br>### a) **CCO – Chief Compliance Officer**<br><br>- The **CCO** is responsible for overseeing and managing compliance within the company. This involves ensuring that the organization complies with external regulations and internal policies, and that risks associated with legal and regulatory issues are minimized.<br>- **Role Example**: The CCO might ensure the company follows data protection laws like GDPR or industry-specific regulations like HIPAA in healthcare.<br><br>### b) **CIO – Chief Information Officer**<br><br>- The **CIO** is responsible for the overall technology strategy of the company. They oversee the management, implementation, and usability of technology and information systems. The CIO ensures that the company’s IT infrastructure aligns with its business goals.<br>- **Role Example**: The CIO might lead initiatives to upgrade company software, implement cloud technologies, or improve cybersecurity measures.<br><br>### c) **CISO – Chief Information Security Officer** (Correct Answer)<br><br>- The **CISO** is specifically responsible for the security of a company’s information and data. Their main focus is on protecting the organization’s sensitive data from security threats, such as hacking, breaches, and malware. They develop and implement the company’s cybersecurity strategies and policies.<br>- **Role Example**: The CISO might lead efforts to defend against cyberattacks, ensure data encryption, and maintain secure access controls for company systems.<br><br>### d) **COO – Chief Operating Officer**<br><br>- The **COO** is responsible for the day-to-day operations of the company. They work closely with the CEO to implement business strategies and ensure smooth internal processes. The COO oversees various departments to ensure the company runs efficiently.<br>- **Role Example**: The COO might oversee logistics, production, or customer service operations to ensure organizational efficiency and effectiveness.	business-administration philnits 2023 2023A_FE_AM_75
2023A_FE_AM_76	Which of the following is a method of education and training in which trainees engage in simulated business activities, interact with other people to develop experiences, and try out different strategies?<br>a) Case study<br>b) Debate<br>c) In-basket<br>d) Roll-playing	d) Roll-playing<br><br>## Choices<br><br>### a) **Case Study**<br><br>- A **case study** is a training method where participants analyze real-life business scenarios or cases to understand complex issues, evaluate decision-making processes, and derive lessons.<br>- **Use**: Trainees study detailed situations, analyze them, and propose solutions, often working in groups.<br>- **Example**: Analyzing the business strategy of a failed company to understand the reasons behind its failure and discuss alternative strategies.<br><br>### b) **Debate**<br><br>- **Debate** involves participants discussing opposing viewpoints on a particular issue, often in a structured format. The goal is to sharpen critical thinking, improve persuasive skills, and understand multiple perspectives.<br>- **Use**: Trainees take sides on a business issue and argue their case, enhancing their ability to defend a position and think on their feet.<br>- **Example**: Debating the pros and cons of adopting a particular business technology or entering a new market.<br><br>### c) **In-basket Exercise**<br><br>- **In-basket exercises** are used in training and assessment to simulate real-life managerial tasks. Trainees are given a series of tasks, such as emails, reports, and memos, and must prioritize and address them within a limited time.<br>- **Use**: This method tests decision-making, time management, and organizational skills in a simulated work environment.<br>- **Example**: A trainee receives various tasks to respond to, such as urgent emails or pending decisions, and must prioritize and handle them efficiently.<br><br>### d) **Role-Playing** (Correct Answer)<br><br>- **Role-playing** is a method where trainees simulate real-life business roles and scenarios to practice interpersonal skills, decision-making, and strategic thinking. They act out different roles and interact with others in a controlled environment to develop practical experience.<br>- **Use**: Participants take on roles such as a manager, employee, or customer, and work through a scenario to test various strategies and behaviors.<br>- **Example**: A trainee acts as a manager dealing with a difficult employee or customer, trying out different approaches to solve the issue.<br><br>### Recap:<br><br>- **Case Study**: Analyze real-life scenarios to draw lessons.<br>- **Debate**: Discuss opposing views to sharpen critical thinking and persuasive skills.<br>- **In-basket**: Prioritize and manage tasks in a simulated work environment.<br>- **Role-Playing**: Act out business scenarios to practice interpersonal and decision-making skills (Correct answer).	business-administration philnits 2023 2023A_FE_AM_76
2023A_FE_AM_77	<img src="Pasted image 20241020144050.png">	a) S1<br><br><br>## Formula for Expected Value<br><br>\(\text{Expected Value} = \text{Gain or Loss} \times \text{Probability of it Happening}\)<br><br>## Solution<br><br>**Expected Value for Strategy S1:**<br><br>- Sunny: 80 * 0.3 = 24<br>- Cloudy: 20 * 0.5 = 10<br>- Rainy: -40 * 0.2 = -8<br>- Total Expected Value: 24 + 10 - 8 = 26<br><br>**Expected Value for Strategy S2:**<br><br>- Sunny: 60 * 0.3 = 18<br>- Cloudy: 10 * 0.5 = 5<br>- Rainy: -10 * 0.2 = -2<br>- Total Expected Value: 18 + 5 - 2 = 21<br><br>**Expected Value for Strategy S3:**<br><br>- Sunny: 40 * 0.3 = 12<br>- Cloudy: 30 * 0.5 = 15<br>- Rainy: -20 * 0.2 = -4<br>- Total Expected Value: 12 + 15 - 4 = 23<br><br>**Expected Value for Strategy S4:**<br><br>- Sunny: 50 * 0.3 = 15<br>- Cloudy: 15 * 0.5 = 7.5<br>- Rainy: -15 * 0.2 = -3<br>- Total Expected Value: 15 + 7.5 - 3 = 19.5<br><br>**Conclusion:**<br><br>**Strategy S1** has the highest expected value of 26. Therefore, it offers the highest expected payoff considering the given probabilities and values.	math philnits 2023 2023A_FE_AM_77
2023A_FE_AM_78	<img src="Pasted image 20241020144453.png">	b) 7,600<br>## Solution<br><br>Since this company does first-in-first-out (FIFO) for inventory asset valuation, this means that the older inventory gets sold first before new ones.<br><br>So based on the table, we sold 400 units.<br><br>We need to subtract from our units based on what was procured first.<br><br>1. 400 - 100 (10 unit price) = 300<br>2. 300 - 300 (14 unit price) = 0<br><br>So now, we are left with<br><br>- 200 (14 unit price)<br>- 400 (12 unit price)<br><br>Now, we can simply do \((200 \times 14) + (400 \times 12) = 2800 + 4800 = 7600\)<br><br>Therefore, out **answer is b) 7,600**.	accounting philnits 2023 2023A_FE_AM_78
2023A_FE_AM_79	Which of the following is the type of financial statement that shows a company’s assets, liabilities, and shareholders’ equity at a particular point of time?<br><br>a) Balance sheet<br>b) Statement of cash flows<br>c) Statement of changes in equity<br>d) Statement of profit or loss	a) Balance sheet<br><br>## Balance Sheet<br><br>This is very important for stock traders because it will show how a company is doing in terms of their assets (whether they still have or are selling them), their liabilities & debts, and the shareholder equity (to see how saturated their stocks are).<br><br><img src="Pasted image 20241020144950.png"><br><br>## Other Choices<br><br>### **b) Statement of Cash Flows**<br>This statement shows the cash inflows and outflows over a period of time (usually a quarter or year). It is divided into three sections:<br><br>1. **Operating Activities**: Cash flows from core business activities, like receiving payments from customers or paying suppliers.<br>2. **Investing Activities**: Cash flows related to acquiring or selling long-term assets like property or investments.<br>3. **Financing Activities**: Cash flows from transactions involving the company’s own equity and debt, such as issuing stock, borrowing money, or repaying loans.<br>    It provides insight into how a company manages its cash and whether it is generating enough cash to sustain and grow its operations.<br><br><img src="Pasted image 20241020145100.png"><br><br>### **c) Statement of Changes in Equity**<br>This statement shows the changes in a company’s equity from the beginning to the end of a period. It includes information about:<br><br>- **New shares issued** (if applicable),<br>- **Retained earnings**,<br>- **Dividends paid**, and<br>- **Other comprehensive income** (like gains or losses on foreign currency translations or investment valuations).<br>    It provides a reconciliation of the beginning and ending balance of equity for a reporting period.<br><br><img src="Pasted image 20241020145131.png"><br><br>### **d) Statement of Profit or Loss (Income Statement)**<br>This financial statement shows a company’s financial performance over a period of time (typically quarterly or annually). It summarizes:<br><br>- **Revenue**: Money earned from business activities (sales of products/services),<br>- **Expenses**: Costs incurred to earn the revenue (like rent, salaries, raw materials),<br>- **Net Income**: The difference between total revenue and total expenses, showing the company’s profitability.<br>    The statement of profit or loss is crucial for assessing a company’s ability to generate profit from its operations.<br><br><img src="Pasted image 20241020145157.png"><br><br>### Summary:<br><br>- **Balance Sheet** (Correct): Shows assets, liabilities, and equity at a point in time.<br>- **Statement of Cash Flows**: Shows cash inflows and outflows over a period of time.<br>- **Statement of Changes in Equity**: Tracks changes in equity over a period of time.<br>- **Statement of Profit or Loss**: Shows a company’s revenue, expenses, and profitability over a period of time.	accounting philnits 2023 2023A_FE_AM_79
2023A_FE_AM_80	When a single-license software package is purchased by a company, which of the following is an activity that is usually permitted in conformity with the concept of the WTO’s Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS)?<br><br>a) Installing the software package on a large number of computers that are used for the<br>company’s business<br>b) Making a backup copy of software for limited purposes, such as the licensee’s personal<br>use or a temporary copy for maintenance<br>c) Modifying the software package for the company’s internal use and using it on a large<br>number of computers within the company<br>d) Placing the software package on the company’s internal website so that staff members<br>can download and install it	b) Making a backup copy of software for limited purposes, such as the licensee’s personal<br>use or a temporary copy for maintenance<br><br><br>## Mental Framework<br><br>When selling digital goods, the seller usually only leases a single copy of the digital goods. In a lot of terms & conditions, it states that you are not allowed to distribute, copy, or modify the software without proper rights or permission.<br><br>Therefore, a) & d) are not possible answers since it involves distributing the software.<br><br>c) is not possible because it involves modifying the software.<br><br>Hence, b) is the correct answer, since we are using it for "limited purposes".<br><br>## Trade-Related Aspects of Intellectual Property Rights (TRIPS)<br><br>Under **TRIPS**, the use of software is protected as **intellectual property**. However, the agreement allows certain **exceptions and limitations** to protect the interests of legitimate users, while still safeguarding the rights of the copyright holders.<br><br>In particular, TRIPS permits the **making of a backup copy of the software**, provided it’s for **limited purposes** like the licensee’s personal use, or as a temporary copy used for maintenance or to ensure proper functioning. This exception is meant to ensure that users can continue to operate the software even if the original copy is damaged or becomes inaccessible.	software philnits 2023 2023A_FE_AM_80
2024S_FE-A_1	What is the decimal representation of the hexadecimal number 123.4?<br>a) 83.25<br>b) 83.5<br>c) 291.25<br>d) 291.5	c) 291.25<br>### Step 1: Convert the whole part (123) to decimal.<br><br>The hexadecimal number `123` can be expanded as:<br><br>\(1 \times 16^2 + 2 \times 16^1 + 3 \times 16^0\)<br><br>\(= 1 \times 256 + 2 \times 16 + 3 \times 1\)<br><br>\(= 256 + 32 + 3 = 291\)<br><br>### Step 2: Convert the fractional part (0.4) to decimal.<br><br>In hexadecimal, `4` means \( 4 \times 16^{-1} \):<br><br>\(4 \times \frac{1}{16} = \frac{4}{16} = 0.25\)<br><br>### Step 3: Add the whole and fractional parts together.<br><br>\(291 + 0.25 = 291.25\)	number-systems philnits 2024 2024S_FE-A_1
2024S_FE-A_10	Q10. Which of the following is the port that can theoretically connect up to 127 peripheral devices, controlled by a PC?<br>a) Displayport<br>b) HDMI<br>c) SATA<br>d) USB	d) USB<br>### Explanation:<br>- **USB (Universal Serial Bus)**: USB can connect multiple devices using a single port. Specifically, USB supports a topology where one USB host can manage up to 127 devices through the use of hubs. Each hub can connect multiple devices, effectively expanding the number of peripherals that can be connected to a single USB port.<br>### Why the Others Don't Fit:<br><br>- **DisplayPort**: Primarily used for video and audio output, it does not support connecting a large number of peripheral devices in the same way USB does.<br><br>- **HDMI (High-Definition Multimedia Interface)**: Mainly used for transmitting video and audio from a source (like a PC) to a display (like a monitor or TV), and it does not connect multiple peripheral devices.<br><br>- **SATA (Serial Advanced Technology Attachment)**: Used primarily for connecting storage devices such as hard drives and SSDs. It does not support multiple devices in the way that USB does.	hardware philnits 2024 2024S_FE-A_10
2024S_FE-A_11	Which of the following is the design for securing safety and reliability known as “foolproof”?<br><br>a) A redundant configuration, such as duplication, can be used so that even when a device failure occurs, the functions of the overall system are not affected.<br>b) Even when the user performs an incorrect operation, a problem does not occur in the system.<br>c) When a device failure occurs, damage can be minimized by enabling the system to stop safely. d) When a device failure occurs, the system runs even if the usable functions are restricted, and the processing efficiency is reduced.	b) Even when the user performs an incorrect operation, a problem does not occur in the system.<br>### Explanation<br><br>A foolproof system is designed in such a way that even if users make mistakes or perform incorrect operations, the system prevents those errors from causing significant problems. It anticipates human errors and ensures that the system remains functional or safe despite such errors. The goal is to make the system "error-proof" from user mistakes.<br><br>b) Even when the user performs an incorrect operation, a problem does not occur in the system.<br>- This describes a foolproof system. The key aspect is that the system can handle incorrect operations without causing problems. The system is designed to be resilient against user mistakes, preventing serious consequences or failures.<br>### Why the Others Don't Fit<br><br>a) A redundant configuration, such as duplication, can be used so that even when a device failure occurs, the functions of the overall system are not affected.<br>- This describes redundancy in system design, which aims to improve reliability by providing backup components that ensure continued operation when a failure occurs. This is about ensuring system reliability through duplication but is unrelated to protecting the system from user error, so it's not a foolproof design.<br>c) When a device failure occurs, damage can be minimized by enabling the system to stop safely.<br>- This option refers to a fail-safe system. In this design, the system is capable of safely stopping when a failure occurs to prevent further harm or damage. While this minimizes damage, it is not focused on preventing errors caused by incorrect user actions, so it is not foolproof.<br>d) When a device failure occurs, the system runs even if the usable functions are restricted, and the processing efficiency is reduced.<br>- This describes a fault-tolerant system, where the system continues operating despite partial failure, though possibly at reduced capacity. This is about maintaining functionality in the presence of faults, but not about handling user mistakes, so it's not foolproof.**	operating-systems philnits 2024 2024S_FE-A_11
2024S_FE-A_12	There is a system where the operating status is continuously monitored. Which of the following is an appropriate sequence of work items in capacity planning that is conducted when a new task is applied to the system after several years of operation?<br><br>[Work items in capacity planning]<br>(i) Evaluate the proposed system configuration, assess its appropriateness, and conduct a review if necessary.<br>(ii) Consider a proposal for the necessary system configuration based on the system characteristics, including factors such as the number of servers and whether parallel distributed processing is performed.<br>(iii) Understand the performance information of the hardware or the environment inherent to the system based on the operating status of the system.<br>(iv) Conduct a meeting with users to gather information about the new task, understand requirements such as the estimated number of processes, and determine the time required for processes.<br><br>a) (iii), (ii), (iv), (i)<br>b) (iii), (iv), (ii), (i)<br>c) (iv), (ii), (i), (iii)<br>d) (iv), (iii), (i), (ii)	b) (iii), (iv), (ii), (i)<br>### Explanation<br><br><br>This is a logic based question, as it calls for an appropriate sequence for capacity planning.<br><br><img src="Pasted image 20241017134330.png"><br><br>Based on the diagram above for the steps in capacity planning,<br><br>The categories of the choices can be divided into the following:<br>Learning the system → Learning the problem → Making/Construct the solution → Evaluate Performance.<br><br>This would then eliminate choices C and D because they both start with gathering information about the task instead of first checking the performance of the system.<br><br>The next choice that would be eliminated is A because step in A directly goes to making a solution without prior knowledge about the new task.	project-management philnits 2024 2024S_FE-A_12
2024S_FE-A_13	An operating system adopts the priority scheduling algorithm for scheduling processes. There are five processes A, B, C, D and E arriving at the same time with estimated running times of 10, 6, 2, 4, and 8 milliseconds, respectively. Their priorities are 3, 5, 2, 1, and 4, where 1 is the highest priority. What is the mean process turnaround time?<br>a) 14<br>b) 16<br>c) 20<br>d) 22	b) 16<br>### Step 1: Determine what is being asked for<br><br>"What is the mean process turnaround time?"<br><br>This denotes that the answer is being measured in time.<br><br>It is different from preemptive SRTF scheduling. It utilizes the priority scheduling algorithm.<br><br> Turnaround time is the time the process completes its execution - the arrival time. (Completion time - Arrival Time)<br><br>### Step 2: Calculate for the Turnaround times per process<br><br>It is given that the arrival time is consistent all throughout the processes. This means that turnaround time can be calculated using the completion time alone (turnaround time of the previous process) + run time of the current process.<br><br>| Process | Running time (Burst Time) | Priority | Turn Around time |<br>| ------- | ------------------------- | -------- | ---------------- |<br>| A       | 10                        | 3        | 6+10 = 16        |<br>| B       | 6                         | 5        | 24 + 6 = 30      |<br>| C       | 2                         | 2        | 4+2 = 6          |<br>| D       | 4                         | 1        | 0+4 = 4          |<br>| E       | 8                         | 4        | 16 + 8 = 24      |<br><br>Once we sum up all of the turnaround times, we are left with 80.<br><br>To get the mean turnaround time, it would be \(\dfrac{80}{5}\) = 16ms<br>**	operating-systems philnits 2024 2024S_FE-A_13
2024S_FE-A_14	<img src="Pasted image 20241017140423.png">	d) L ≧ ( S − R ) × T<br>### Step 1: Explanation<br><br>Buffer - Temporary storage for data that is being transferred from one place to another.<br><br> L (buffer size) should not undergo buffer overflow, thus L should be greater than or equal to the amount of data in the buffer<br>- From this we get L>=, reducing our options to two<br> - The sending task has a HIGHER transfer speed than the receiving task.<br> - Since data is being transferred faster, the receiving task cannot keep up.<br> - The data that cannot yet be processed is stored in the buffer<br> - Thus we get (S-R) because the accumulated data in the buffer is the difference between the SENDING TASK and the RECEIVING TASK.<br> - Multiply by T to show the amount of data accumulated in the buffer over time.<br><br><br>**	data-encoding philnits 2024 2024S_FE-A_14
2024S_FE-A_15	Which of the following is the appropriate explanation of ideal hashing used during a data search?<br><br>a) It is advanced search technology that determines the intention of a user’s search request by adding recognition and decision functions to an object that combines data and its processing.<br>b) It is data search technology that is fast and highly scalable, in which values converted from data with a specific algorithm are used for storage addresses of the data.<br>c) It is technology and techniques for searching a large volume of accumulated data to identify trends, correlations, patterns, and other information required for management and marketing.<br>d) It is technology created with the aim of increasing the hit ratio for keyword searches and preventing omissions in searches by using a list of synonyms and equivalent words.	b) It is data search technology that is fast and highly scalable, in which values converted from data with a specific algorithm are used for storage addresses of the data.<br>### Explanation<br><br><br>**What is hashing?**<br><br>Hashing is a technique used for fast data storage and retrieval. It involves a hash function, which takes an input (or "key") and converts it into a numerical value, called a hash value or hash code. This hash code is then used as an index in a data structure called a hash table, where the actual data is stored.<br><br>### Why the Others Won't Fit<br><br>A: "It is advanced search technology that determines the intention of a user’s search request by adding recognition and decision functions to an object that combines data and its processing."<br><br>- This definition relates to semantic search or AI-based search technologies that understand the intent of a search request and are commonly utilized in natural language processing or AI systems. Hashing does not determine user intent or include recognition/decision functions; instead, it generates a storage location for rapid data retrieval. Thus, this has nothing to do with hashing.<br><br> C: "It is technology and techniques for searching a large volume of accumulated data to identify trends, correlations, patterns, and other information required for management and marketing."<br><br>- This description is more related to data mining or big data analysis, in which massive datasets are processed to reveal useful patterns or insights. Hashing is not about identifying trends or patterns in data, but rather about effectively storing and recovering specific pieces of data. So, this choice is also unrelated to hashing.<br><br>D: "It is technology created with the aim of increasing the hit ratio for keyword searches and preventing omissions in searches by using a list of synonyms and equivalent words."<br><br>- This relates to search engine optimization techniques such as synonym expansion or keyword suggestions. These strategies are used to improve search results in information retrieval systems by broadening the search to include similar phrases. Hashing does not use synonyms or equivalent phrases; rather, it is a technique for swiftly storing and retrieving data based on its hash value. As a result, this does not accurately define hashing.**<br><br><br>(credits to Andrea Baulita for the answer)	algorithms philnits 2024 2024S_FE-A_15
2024S_FE-A_16	<img src="Pasted image 20241017225445.png">	D<br>### Reviewer on Logic Gate Symbols<br><br><img src="Pasted image 20241017225550.png"><br><br>### Explanation<br><br>The original circuit consists of:<br><br>![](https://lh7-rt.googleusercontent.com/docsz/AD_4nXdG7br53Y7OFUxc_jxJsnFNHhwY7kFnfq6Xr289B3HQS7SSQEIroBCyb8byfuhOs-5Q0doKS4i62PONAC175vMXqUZKCVlE8QGVi8TsGZiubwNBwdjJm2wZsT61oZAUVEWZGurkDDV4fy0Krgjr4Bs3IA2kWc6ue0SwDyOpbm_2Wa_jyLlEjQ?key=pV19ePxAHfEw9GEFgr2rpg)<br><br>1. x and y are inputs to a NAND gate. The output of the NAND gate is ​x y, which is the inversion of the AND operation.<br><br>2. z goes through a NOT gate before being input to the OR gate. So the value entering the OR gate from z is ​z.<br><br>3. The final output function comes from the OR gate, which takes ​x y​ (from the NAND gate) and ​z (from the NOT gate).<br><br>Thus, the Boolean expression for the original circuit is:<br><br>f(x, y, z) = x y +z<br><br>Now, take note of these equivalences in circuits:<br><br>![](https://lh7-rt.googleusercontent.com/docsz/AD_4nXeVAvjNC_TTsdK5RLqTqqW2zT7CDMdTswtLKn8mG9d8o3cHtKrX7pjPQs1FDa4M4TOfpnUGebXXeMUGQAtK4_Qqkt9e6WtU-h2uTh-FYB8c4BZ0pVKuAT5RLffH0CPzkr9WzuESASQ75OWepuBWsEAHz8DOfwIJ5YiBBwnHPYyGn6dF93GGs04?key=pV19ePxAHfEw9GEFgr2rpg)<br><br>The original circuit is just like this one<br>![](https://lh7-rt.googleusercontent.com/docsz/AD_4nXeBOedpdGpu1NI9uG6bVJrcZq7RWoXmOPrQrdHcw9pdOeeC-A1SaiBbrNsxG5WQc6hNacACYn0SoFMLLjB2440zFbcLe0CKViIXXbnmPlYeP0FSp3xdhTN3k1Wk7_CScS-FnZe4HIOYKQQJxCEf2NVtTov2hpqTHS9syl5rF-MY61XCJwsYRTs?key=pV19ePxAHfEw9GEFgr2rpg)<br><br><br>And based on the photo, that circuit is just equivalent to this<br><br>![](https://lh7-rt.googleusercontent.com/docsz/AD_4nXcFIb3HjnVqJ1R2_QYXOHUIQ_c4gtE_y1C0jMhfGTXeEUNBkFlzGsoHMgHfzUcyjetH8ztvIMeMEg8V4sCC1q_iH8V6-FGj8VzMyGxO4E7XFDaacVVddqMJj-KLG8KispywORjw0BwdCYcBCZYOwee1YuEzpAImuXpOI90W2QcAWgGjvYOihXk?key=pV19ePxAHfEw9GEFgr2rpg)<br><br>Among the given choices from above, letter D is the right answer as it outputs the same boolean expression as the original circuit which was:<br><br>![](https://lh7-rt.googleusercontent.com/docsz/AD_4nXfrXSgel89D3Vt4TpQLX6x79pExSpFXg3nsKlEQmwiZwzmj6cj0W7RqzMiU3dJvVV78UuXe_Pbxg5k90EiqwnYQgmnbh7D4SU5yTbTwOMStw3Dc5F0v4-iiYNmHVSnF2vIZdPYIesPlt8jAqhVPQawbC2zPS_tCMvHjiVgfxLS7Jkx_DGgqFQ?key=pV19ePxAHfEw9GEFgr2rpg)f(x, y, z) = x y +z<br><br>Therefore, the correct answer is letter D.**<br><br>(credits to Andrea Baulita for the answer)	digital-logic philnits 2024 2024S_FE-A_16
2024S_FE-A_17	In the process of creating animation, which of the following is used to record the natural movement of objects, humans, and animals by using sensors and video cameras?<br>a) Key frame method<br>b) Morphing<br>c) Motion capture<br>d) Pixel shader	c) Motion capture<br>### Explanation<br><br>Motion capture (often abbreviated as "mocap") is a technique used in animation and visual effects to record the natural movement of objects, humans, and animals. It involves placing sensors on the subject's body, which capture the movement in real-time. These movements are then used to animate digital characters or objects. Video cameras and sensors are integral to the motion capture process, translating physical actions into digital animations.<br><br>### Why the Others Won't Fit<br><br>**a) Key frame method:**<br>In the key frame method, animators define crucial points of an object's or character's movement (called keyframes), and the software interpolates the frames between these points to create smooth motion. This technique is widely used in traditional and digital animation, but it does not involve recording real-world movements using sensors or cameras. Instead, it relies on manually defining positions and transitions over time.<br><br>**b) Morphing:**<br>Morphing is a technique used to transform one image or shape into another, typically by blending them together over time. It’s commonly seen in visual effects where one object gradually changes into another. Morphing doesn’t involve capturing real-world motion; rather, it’s a digital manipulation of shapes and images.<br><br>**d) Pixel shader:**<br>A pixel shader is a graphics programming tool used to manipulate the appearance of pixels in 3D rendering. It's primarily concerned with how an image or texture appears on the screen, such as adding lighting effects or textures. Pixel shaders deal with visual effects at the pixel level rather than motion or movement and do not involve recording or replicating physical movements.	hardware philnits 2024 2024S_FE-A_17
2024S_FE-A_18	Which of the following is a critical step in creating a relational database?<br><br>a) Building a network diagram<br>b) Creating entity-relationship diagrams<br>c) Designing a flowchart<br>d) Programming in C++	b) Creating entity-relationship diagrams<br>### Step 1: Explanation<br><br>1. A network diagram would be useful if you were creating a complex network for homes or other industrial buildings. It is out of scope when talking about the creation of a relational database<br><br>2. Creating entity-relationship diagrams are essential before making a relational database because they define the relationships between entities (tables) in your database. By having a clear visual representation of these relationships, creating the relational database becomes easier.<br><br>3. Designing a flowchart is used to document, study and plan complex processes in clear diagrams in order to identify your methodology in solving it. It is not involved in the process of creating a relational database.<br><br>4. Programming in C++ is not necessarily involved in the process of creating a relational database, though there are ways that it can be used in creating one. It is not critical to the process.	information-management philnits 2024 2024S_FE-A_18
2024S_FE-A_19	<img src="Pasted image 20241017231644.png">	A<br>### Explanation<br><br>The diagram shows three entities: **Department**, **Employee**, and **Dependent**.<br><br>There is an arrow from **Department** to **Employee**, which suggests a relationship between departments and employees, typically indicating that each department can have multiple employees.<br><br>The arrow from **Employee** to **Dependent** suggests that an employee can have multiple dependents.<br><br>**Option A** correctly interprets the E-R model by stating that a department can have many employees, and employees can have multiple dependents, which aligns with the structure shown in the diagram.<br><br>The other options do not fully capture these relationships:<br><br>- **b)** suggests each employee has exactly one dependent, which is incorrect based on the diagram's "many" relationship.<br>- **c)** incorrectly limits employees to at most one dependent.<br>- **d)** does not relate to the diagram, as it introduces a relationship where an employee can work in two departments, which is not shown in the model.	information-management philnits 2024 2024S_FE-A_19
2024S_FE-A_2	Five people are sitting at a table in a restaurant. Two of them ordered coffee, and the other three ordered tea. The waiter forgets who ordered what and puts the drinks in a random order for the five persons. What is the probability that every person gets the correct drink?<br><br>a) \(\frac{1}{30}\)<br>b) \(\frac{1}{20}\)<br>c) \(\frac{1}{10}\)<br>d) \(\frac{3}{10}\)	**Answer: C**<br>### Step 1: List down the given<br><br>Given:<br><br>5 people,<br>2 coffee orders,<br>3 tea orders<br>### Step 2: Calculate the probability<br><br>To calculate probability, you must **divide the number of favorable events by the total number of possible events**.<br><br>*Probability = Number of favorable outcomes / Total number of outcomes*<br><br>Using the formula above, it would be possible to calculate for the final answer using the values for either tea or coffee being served to the correct people. Since in the case that either one of them is served correctly, then the other will also be the same.<br><br>Calculating for P, probability, using the values for coffee:<br><br>\(P = \frac{2}{5} \times \frac{1}{4} = \frac{2}{20} = 0.1\)<br><br>Using the values for tea:<br><br>\(P = \frac{3}{5} \times \frac{2}{4} \times \frac{1}{3} = \frac{6}{60} = \frac{1}{10} = 0.1\)	probability philnits 2024 2024S_FE-A_2
2024S_FE-A_20	<img src="Pasted image 20241017232054.png">	B<br>### Explanation<br><br>Since the fields of Price and SpecialPrice are already given, what needs to be determined are the remaining fields that can be inferred from the ERD.<br><br><img src="Pasted image 20241017232306.png"><br><br>From the figure, we can see that there is an optional many relationship between Catalog and CatalogProduct and between ProductItem and CatalogProduct. In a relational database, the practice for defining a relationship between tables is through a foreign key, which can be mapped to the adjacent table.<br><br>See [SQL FOREIGN KEY](https://www.w3schools.com/sql/sql_ref_foreign_key.asp) for more information.<br><br>With this information, we can deduce that the CatalogProduct table should have the fields of CatalogID and ProductID as these can be mapped to the primary keys of the ProductItem and Catalog tables. These serve as the foreign keys in the CatalogProduct table that can be used to form a relationship with the adjacent tables.	information-management philnits 2024 2024S_FE-A_20
2024S_FE-A_21	<img src="Pasted image 20241018093758.png">	C<br>### Explanation<br>The correct answer is **c) GROUP BY Class, Subject ORDER BY Class, Subject** because it fits the logical structure and intent of the SQL query.<br>- The SQL query intends to calculate the average score for each **Class** and **Subject** combination. To do this, you need to group the data by these two fields.<br>- After calculating the averages, the result should be ordered by **Class** and **Subject**, as specified in the query prompt.<br>### Why the Others Won't Fit<br>**a) GROUP BY Class, AverageScore ORDER BY Class, Subject**:<br>- This is incorrect because **AverageScore** is an alias for the aggregated result (`AVG(Score)`), not a column in the original table. You cannot group by a calculated aggregate like **AverageScore**. SQL requires grouping by fields that are not aggregate functions (such as **Class** and **Subject**).<br>**b) GROUP BY Class, Subject ORDER BY Class, AVG(Score)**:<br>- Although the grouping part is correct, the **ORDER BY AVG(Score)** is problematic. You cannot order by an aggregate function in this context, since the prompt asks for ordering by **Class** and **Subject** (not by the average score). Ordering by **Class** and **Subject** is more logical when sorting the data.<br><br><br><br>**d) GROUP BY Class, Subject, StudentNumber ORDER BY Class, Subject, AverageScore**:<br><br>- This is incorrect because adding **StudentNumber** in the **GROUP BY** clause would break the purpose of averaging scores by **Class** and **Subject**. By grouping by **StudentNumber**, you would create a group for each student, effectively preventing the `AVG(Score)` from being calculated per **Class** and **Subject**.<br>- Additionally, the **ORDER BY AverageScore** is not what the prompt asks for—it requires ordering by **Class** and **Subject**.<br><br>###	project-management philnits 2024 2024S_FE-A_21
